ForceID	KungFuID	PointID	Type	CostTrain	PointRequireLevel	SkillID1	SkillLevel1	RequireLevel1	RequireQuestID1	SkillColor1	SkillID2	SkillLevel2	RequireLevel2	RequireQuestID2	SkillColor2	SkillID3	SkillLevel3	RequireLevel3	RequireQuestID3	SkillColor3	SkillID4	SkillLevel4	RequireLevel4	RequireQuestID4	SkillColor4	SkillID5	SkillLevel5	RequireLevel5	RequireQuestID5	SkillColor5	SkillID6	SkillLevel6	RequireLevel6	RequireQuestID6	SkillColor6	SkillID7	SkillLevel7	RequireLevel7	RequireQuestID7	SkillColor7	SkillID8	SkillLevel8	RequireLevel8	RequireQuestID8	SkillColor8	SkillID9	SkillLevel9	RequireLevel9	RequireQuestID9	SkillColor9	SkillID10	SkillLevel10	RequireLevel10	RequireQuestID10	SkillColor10	SkillID11	SkillLevel11	RequireLevel11	RequireQuestID11	SkillColor11	SkillID12	SkillLevel12	RequireLevel12	RequireQuestID12	SkillColor12
3	6	1	1	300	108	6517	1	108	0	0	30654	1	108	0	1	15158	1	108	0	0	38671	1	108	0	0			108		0																																			
3	6	2	2	300	109	6524	1	109	0	0	6514	1	109	0	0	28442	1	109	0	0	2628	1	109	0	0			109		0																																			
3	6	3	2	300	110	18226	1	110	0	0	5673	1	110	0	0	24896	1	110	0	0	37338	1	110	0	0			110		0																																			
3	6	4	2	300	111	23997	1	111	0	0	6530	1	111	0	0	42310	1	111	0	0	6511	1	111	0	0			111		0																																			
3	6	5	2	300	112	32911	1	112	0	0	5659	1	112	0	0	42673	1	112	0	0	18602	1	112	0	0			112		0																																			
3	6	6	2	300	113	5669	1	113	0	0	24841	1	113	0	0	14824	1	113	0	0	30653	1	113	0	0			113		0																																			
3	6	7	2	300	114	6806	1	114	0	0	5678	1	114	0	0	42672	1	114	0	0	24899	1	114	0	0			114		0																																			
3	6	8	3	300	115	18557	1	115	0	0	42670	1	115	0	1	6781	1	115	0	0	42671	1	115	0	0	15001	1	115	0	0	14821	1	115	0	0	28564	1	115	0	0	42273	1	115	0	0	18487	1	115	0	0	5666	1	115	0	0	18233	1	115	0	0	2611	1	115	0	0
3	6	9	3	300	115	18557	1	115	0	0	42670	1	115	0	1	6781	1	115	0	0	42671	1	115	0	0	15001	1	115	0	0	14821	1	115	0	0	28564	1	115	0	0	42273	1	115	0	0	18487	1	115	0	0	5666	1	115	0	0	18233	1	115	0	0	2611	1	115	0	0
3	6	10	3	300	115	18557	1	115	0	0	42670	1	115	0	1	6781	1	115	0	0	42671	1	115	0	0	15001	1	115	0	0	14821	1	115	0	0	28564	1	115	0	0	42273	1	115	0	0	18487	1	115	0	0	5666	1	115	0	0	18233	1	115	0	0	2611	1	115	0	0
